graph,aco_ts,pli,gap,gap_percent,status,runtime_seconds,iterations,evaluations,stop_reason,output_file
can_144,36.0,36.0,0.0,0.0,igual,10.472,1036,367658,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/can_144.json
can_187,67.0,64.0,3.0,4.6875,pior,18.962,1700,626566,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/can_187.json
can_229,108.0,102.0,6.0,5.88235294117647,pior,24.492,1950,720576,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/can_229.json
can_268,61.0,48.0,13.0,27.083333333333332,pior,17.218,1049,369218,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/can_268.json
can_838,288.0,188.0,100.0,53.191489361702125,pior,159.783,3750,1397448,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/can_838.json
dwt_1005,456.0,408.0,48.0,11.76470588235294,pior,102.7,2400,889794,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_1005.json
dwt_198,92.0,84.0,8.0,9.523809523809524,pior,16.538,1450,532556,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_198.json
dwt_245,160.0,149.0,11.0,7.38255033557047,pior,36.584,2800,1040210,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_245.json
dwt_307,128.0,112.0,16.0,14.285714285714285,pior,24.439,1550,570160,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_307.json
dwt_346,186.0,163.0,23.0,14.11042944785276,pior,26.296,1400,513754,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_346.json
dwt_361,149.0,146.0,3.0,2.054794520547945,pior,60.289,3500,1303438,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_361.json
dwt_419,178.0,159.0,19.0,11.949685534591195,pior,84.426,4000,1491458,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_419.json
dwt_503,163.0,150.0,13.0,8.666666666666668,pior,62.477,2300,852190,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_503.json
dwt_59,43.0,43.0,0.0,0.0,igual,11.309,1750,645368,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_59.json
dwt_607,243.0,221.0,22.0,9.95475113122172,pior,41.494,1600,588962,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_607.json
dwt_66,42.0,39.0,3.0,7.6923076923076925,pior,7.302,1100,400942,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_66.json
dwt_869,349.0,317.0,32.0,10.094637223974763,pior,125.516,3650,1359844,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_869.json
dwt_878,361.0,305.0,56.0,18.360655737704917,pior,116.772,3350,1247032,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/dwt_878.json
