algorithm,graph,best_fitness_global,attempts,total_runtime_seconds,output
aco_ts,cubic_2200.col,1692.0,10,1391.208,results/experiments/aco_ts/cubic_2200.json
aco_ts,cubic_2600.col,2002.0,10,12048.221,results/experiments/aco_ts/cubic_2600.json
aco_ts,cubic_1900.col,1463.0,10,1723.03,results/experiments/aco_ts/cubic_1900.json
aco_ts,bcsstk20.col,270.0,10,82.43,results/experiments/aco_ts/bcsstk20.json
aco_ts,bcsstk09.col,236.0,10,849.845,results/experiments/aco_ts/bcsstk09.json
aco_ts,jagmesh4.col,706.0,10,882.438,results/experiments/aco_ts/jagmesh4.json
aco_ts,cubic_1100.col,844.0,10,440.999,results/experiments/aco_ts/cubic_1100.json
aco_ts,cubic_1800.col,1382.0,10,933.635,results/experiments/aco_ts/cubic_1800.json
aco_ts,lshp1561.col,734.0,10,908.773,results/experiments/aco_ts/lshp1561.json
aco_ts,cubic_1500.col,1150.0,10,737.635,results/experiments/aco_ts/cubic_1500.json
aco_ts,cubic_900.col,687.0,10,365.243,results/experiments/aco_ts/cubic_900.json
aco_ts,cubic_1700.col,1303.0,10,751.685,results/experiments/aco_ts/cubic_1700.json
aco_ts,cubic_200.col,151.0,10,48.282000000000004,results/experiments/aco_ts/cubic_200.json
aco_ts,dwt_869.col,322.0,10,302.752,results/experiments/aco_ts/dwt_869.json
aco_ts,cubic_1600.col,1229.0,10,788.493,results/experiments/aco_ts/cubic_1600.json
aco_ts,cubic_300.col,228.0,10,87.677,results/experiments/aco_ts/cubic_300.json
aco_ts,dwt_1005.col,415.0,10,544.018,results/experiments/aco_ts/dwt_1005.json
aco_ts,cubic_800.col,613.0,10,640.1,results/experiments/aco_ts/cubic_800.json
aco_ts,queen16_16.col,30.0,10,586.665,results/experiments/aco_ts/queen16_16.json
aco_ts,cubic_1400.col,1075.0,10,1343.001,results/experiments/aco_ts/cubic_1400.json
aco_ts,bcsstk19.col,350.0,10,773.317,results/experiments/aco_ts/bcsstk19.json
aco_ts,jagmesh8.col,568.0,10,530.469,results/experiments/aco_ts/jagmesh8.json
aco_ts,cubic_1000.col,765.0,10,442.569,results/experiments/aco_ts/cubic_1000.json
aco_ts,cubic_1300.col,997.0,10,566.015,results/experiments/aco_ts/cubic_1300.json
aco_ts,le450_5a.col,77.0,10,293.746,results/experiments/aco_ts/le450_5a.json
aco_ts,jagmesh2.col,481.0,10,397.436,results/experiments/aco_ts/jagmesh2.json
aco_ts,young2c.col,545.0,10,367.06,results/experiments/aco_ts/young2c.json
aco_ts,cubic_1200.col,918.0,10,494.391,results/experiments/aco_ts/cubic_1200.json
aco_ts,cubic_500.col,382.0,10,140.248,results/experiments/aco_ts/cubic_500.json
aco_ts,le450_5b.col,78.0,10,270.867,results/experiments/aco_ts/le450_5b.json
aco_ts,young3c.col,538.0,10,303.218,results/experiments/aco_ts/young3c.json
aco_ts,cubic_400.col,305.0,10,106.344,results/experiments/aco_ts/cubic_400.json
aco_ts,cubic_700.col,535.0,10,238.684,results/experiments/aco_ts/cubic_700.json
aco_ts,dwt_503.col,152.0,10,170.15800000000002,results/experiments/aco_ts/dwt_503.json
aco_ts,cubic_600.col,460.0,10,174.355,results/experiments/aco_ts/cubic_600.json
aco_ts,dwt_419.col,159.0,10,150.847,results/experiments/aco_ts/dwt_419.json
aco_ts,dwt_361.col,146.0,10,54.87,results/experiments/aco_ts/dwt_361.json
aco_ts,dwt_607.col,224.0,10,182.175,results/experiments/aco_ts/dwt_607.json
aco_ts,can_229.col,102.0,10,59.448,results/experiments/aco_ts/can_229.json
aco_ts,le450_25c.col,39.0,10,431.80199999999996,results/experiments/aco_ts/le450_25c.json
aco_ts,hamming10-4.col,10.0,10,8961.748,results/experiments/aco_ts/hamming10-4.json
aco_ts,bcspwr06.col,1184.0,10,1803.0149999999999,results/experiments/aco_ts/bcspwr06.json
aco_ts,dwt_346.col,166.0,10,645.47,results/experiments/aco_ts/dwt_346.json
aco_ts,dwt_878.col,306.0,10,437.23199999999997,results/experiments/aco_ts/dwt_878.json
aco_ts,p_hat500-2.col,10.0,10,1253.007,results/experiments/aco_ts/p_hat500-2.json
aco_ts,662_bus.col,521.0,10,216.144,results/experiments/aco_ts/662_bus.json
aco_ts,dwt_307.col,113.0,10,98.947,results/experiments/aco_ts/dwt_307.json
aco_ts,brock200_3.col,8.0,10,239.852,results/experiments/aco_ts/brock200_3.json
aco_ts,dwt_245.col,149.0,10,59.311,results/experiments/aco_ts/dwt_245.json
aco_ts,plat362.col,78.0,10,153.256,results/experiments/aco_ts/plat362.json
aco_ts,bcsstk06.col,126.0,10,186.407,results/experiments/aco_ts/bcsstk06.json
aco_ts,can_1054.col,223.0,10,905.768,results/experiments/aco_ts/can_1054.json
aco_ts,le450_25b.col,86.0,10,340.789,results/experiments/aco_ts/le450_25b.json
aco_ts,hamming8-4.col,10.0,10,289.68399999999997,results/experiments/aco_ts/hamming8-4.json
aco_ts,p_hat300-3.col,6.0,10,449.216,results/experiments/aco_ts/p_hat300-3.json
aco_ts,can_838.col,196.0,10,711.335,results/experiments/aco_ts/can_838.json
aco_ts,bcsstk22.col,98.0,10,20.627,results/experiments/aco_ts/bcsstk22.json
aco_ts,johnson16-2-4.col,8.0,10,43.071999999999996,results/experiments/aco_ts/johnson16-2-4.json
aco_ts,1138_bus.col,959.0,10,462.062,results/experiments/aco_ts/1138_bus.json
aco_ts,myciel7.col,16.0,10,39.129,results/experiments/aco_ts/myciel7.json
aco_ts,c-fat200-5.col,7.0,10,83.525,results/experiments/aco_ts/c-fat200-5.json
aco_ts,c-fat200-1.col,37.0,10,24.965,results/experiments/aco_ts/c-fat200-1.json
aco_ts,c-fat500-1.col,80.0,10,80.896,results/experiments/aco_ts/c-fat500-1.json
aco_ts,bcsstk03.col,60.0,10,10.169,results/experiments/aco_ts/bcsstk03.json
aco_ts,hamming8-2.col,4.0,10,194.109,results/experiments/aco_ts/hamming8-2.json
aco_ts,dwt_59.col,43.0,10,6.296,results/experiments/aco_ts/dwt_59.json
aco_ts,myciel6.col,12.0,10,21.077,results/experiments/aco_ts/myciel6.json
aco_ts,bcsstm27.col,78.0,10,336.076,results/experiments/aco_ts/bcsstm27.json
aco_ts,can_187.col,64.0,10,34.067,results/experiments/aco_ts/can_187.json
aco_ts,can_268.col,50.0,10,133.41899999999998,results/experiments/aco_ts/can_268.json
aco_ts,bcspwr03.col,89.0,10,21.242,results/experiments/aco_ts/bcspwr03.json
aco_ts,miles250.col,68.0,10,25.647,results/experiments/aco_ts/miles250.json
aco_ts,bcsstk04.col,19.0,10,47.379,results/experiments/aco_ts/bcsstk04.json
aco_ts,hamming6-4.col,10.0,10,21.454,results/experiments/aco_ts/hamming6-4.json
aco_ts,queen7_7.col,9.0,10,12.318,results/experiments/aco_ts/queen7_7.json
aco_ts,johnson8-4-4.col,6.0,10,19.482,results/experiments/aco_ts/johnson8-4-4.json
aco_ts,queen5_5.col,7.0,10,3.113,results/experiments/aco_ts/queen5_5.json
aco_ts,dwt_198.col,84.0,10,25.006,results/experiments/aco_ts/dwt_198.json
aco_ts,dwt_66.col,39.0,10,9.853,results/experiments/aco_ts/dwt_66.json
aco_ts,myciel3.col,7.0,10,1.358,results/experiments/aco_ts/myciel3.json
aco_ts,can_144.col,36.0,10,29.112000000000002,results/experiments/aco_ts/can_144.json
aco_ts,david.col,6.0,10,10.795,results/experiments/aco_ts/david.json
aco_ts,DSJC1000.1.col,61.0,10,2783.129,results/experiments/aco_ts/DSJC1000.1.json
aco_ts,DSJC1000.5.col,13.0,10,3376.537,results/experiments/aco_ts/DSJC1000.5.json
aco_ts,DSJC1000.9.col,5.0,10,5920.872,results/experiments/aco_ts/DSJC1000.9.json
aco_ts,DSJC125.5.col,9.0,10,56.428,results/experiments/aco_ts/DSJC125.5.json
aco_ts,DSJC500.5.col,12.0,10,686.891,results/experiments/aco_ts/DSJC500.5.json
aco_ts,DSJC500.9.col,5.0,10,1119.277,results/experiments/aco_ts/DSJC500.9.json
aco_ts,DSJR500.1.col,116.0,10,255.111,results/experiments/aco_ts/DSJR500.1.json
aco_ts,gen400_p0.9_55.col,5.0,10,722.889,results/experiments/aco_ts/gen400_p0.9_55.json
aco_ts,inithx.i.2.col,180.0,10,134.143,results/experiments/aco_ts/inithx.i.2.json
aco_ts,mulsol.i.3.col,26.0,10,42.909,results/experiments/aco_ts/mulsol.i.3.json
aco_ts,mulsol.i.5.col,26.0,10,40.212,results/experiments/aco_ts/mulsol.i.5.json
aco_ts,san200_0.7_1.col,6.0,10,226.285,results/experiments/aco_ts/san200_0.7_1.json
aco_ts,san200_0.7_2.col,7.0,10,105.93,results/experiments/aco_ts/san200_0.7_2.json
aco_ts,san400_0.5_1.col,8.0,10,302.274,results/experiments/aco_ts/san400_0.5_1.json
aco_ts,san400_0.7_1.col,6.0,10,714.201,results/experiments/aco_ts/san400_0.7_1.json
aco_ts,sanr200_0.7.col,7.0,10,105.179,results/experiments/aco_ts/sanr200_0.7.json
aco_ts,zeroin.i.1.col,176.0,10,40.963,results/experiments/aco_ts/zeroin.i.1.json
hho_rvns,keller6.col,6.0,10,9015.155999999999,results/experiments/hho_rvns/keller6.json
hho_rvns,cubic_2900.col,2277.0,10,9151.931,results/experiments/hho_rvns/cubic_2900.json
hho_rvns,p_hat1500-3.col,7.0,10,11412.446,results/experiments/hho_rvns/p_hat1500-3.json
hho_rvns,brock800_3.col,9.0,10,9459.983,results/experiments/hho_rvns/brock800_3.json
hho_rvns,p_hat1000-2.col,11.0,10,9769.761,results/experiments/hho_rvns/p_hat1000-2.json
hho_rvns,flat1000_50_0.col,12.0,10,9507.51,results/experiments/hho_rvns/flat1000_50_0.json
hho_rvns,brock800_4.col,9.0,10,10321.278,results/experiments/hho_rvns/brock800_4.json
hho_rvns,cubic_100.col,76.0,10,2379.447,results/experiments/hho_rvns/cubic_100.json
hho_rvns,cubic_2800.col,2196.0,10,9093.423,results/experiments/hho_rvns/cubic_2800.json
