dataset,n_instancias,HHO_RVNS_gap_medio,HHO_RVNS_gap_mediano,ACO_TS_gap_medio,ACO_TS_gap_mediano,melhor_mediana
TODOS,130,2.851768324026305,1.0506364106907586,5.892625012749845,0.0,ACO_TS
CUBIC,30,0.3632720193946238,0.9160874724529582,-1.3866420812381752,-0.6818885448916409,ACO_TS
DIMACS,50,4.071329795286953,0.0,13.451755962222343,11.25,HHO_RVNS
HB,50,3.125304635544668,1.5244481486529664,2.701054319670158,1.345399698340875,ACO_TS
