Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status,LB,UB
cubic_100,101,150,0.03,77.0,900.41,Melhor,53,101
cubic_200,201,300,0.01,153.0,901.64,Melhor,103,201
cubic_300,301,450,0.01,229.0,900.15,Melhor,153,301
cubic_400,401,600,0.01,305.0,900.15,Melhor,203,401
cubic_500,501,750,0.01,385.0,900.15,Melhor,253,501
cubic_600,601,900,0.00,460.0,900.09,Melhor,303,601
cubic_700,701,1050,0.00,537.0,900.09,Melhor,353,701
cubic_800,801,1200,0.00,621.0,900.13,Melhor,403,801
cubic_900,901,1350,0.00,696.0,900.15,Melhor,453,901
cubic_1000,1001,1500,0.00,771.0,900.33,Melhor,503,1001
cubic_1100,1101,1650,0.00,848.0,900.23,Melhor,553,1101
cubic_1200,1201,1800,0.00,927.0,900.21,Melhor,603,1201
cubic_1300,1301,1950,0.00,1000.0,900.12,Melhor,653,1301
cubic_1400,1401,2100,0.00,1079.0,900.17,Melhor,703,1401
cubic_1500,1501,2250,0.00,1154.0,900.16,Melhor,753,1501
cubic_1600,1601,2400,0.00,1243.0,900.17,Melhor,803,1601
cubic_1700,1701,2550,0.00,1314.0,900.20,Melhor,853,1701
cubic_1800,1801,2700,0.00,1388.0,900.23,Melhor,903,1801
cubic_1900,1901,2850,0.00,1472.0,900.23,Melhor,953,1901
cubic_2000,2001,3000,0.00,1546.0,900.39,Melhor,1003,2001
cubic_2100,2101,3150,0.00,1630.0,900.22,Melhor,1053,2101
cubic_2200,2201,3300,0.00,1727.0,900.23,Melhor,1103,2201
cubic_2300,2301,3450,0.00,1814.0,900.29,Melhor,1153,2301
cubic_2400,2401,3600,0.00,1918.0,900.40,Melhor,1203,2401
cubic_2500,2501,3750,0.00,1995.0,900.41,Melhor,1253,2501
cubic_2600,2601,3900,0.00,2097.0,900.42,Melhor,1303,2601
cubic_2700,2701,4050,0.00,2155.0,904.95,Melhor,1353,2701
cubic_2800,2801,4200,0.00,2235.0,900.51,Melhor,1403,2801
cubic_2900,2901,4350,0.00,2327.0,914.04,Melhor,1453,2901
cubic_3000,3001,4500,0.00,2412.0,900.33,Melhor,1503,3001
