Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status
dwt_59.col,59,104,0.06,43.0,1.14,Ótimo
dwt_66.col,66,127,0.06,39.0,0.04,Ótimo
bcsstk03.col,112,264,0.04,60.0,1.51,Ótimo
bcsstk22.col,138,279,0.03,98.0,12.25,Ótimo
can_144.col,144,576,0.06,36.0,0.03,Ótimo
can_187.col,187,652,0.04,64.0,0.87,Ótimo
dwt_198.col,198,597,0.03,84.0,0.06,Ótimo
can_229.col,229,774,0.03,102.0,431.22,Ótimo
nos1.col,237,390,0.01,184.0,900.57,Melhor
dwt_245.col,245,608,0.02,149.0,48.17,Ótimo
can_268.col,268,1407,0.04,48.0,0.67,Ótimo
dwt_307.col,307,1108,0.02,112.0,92.01,Ótimo
dwt_346.col,346,1440,0.02,163.0,185.48,Ótimo
dwt_361.col,361,1296,0.02,146.0,900.07,Melhor
plat362.col,362,2712,0.04,76.0,36.25,Ótimo
dwt_419.col,419,1572,0.02,159.0,900.09,Melhor
dwt_503.col,503,2762,0.02,150.0,900.10,Melhor
dwt_607.col,607,2262,0.01,221.0,869.08,Ótimo
662_bus.col,662,906,0.00,521.0,99.93,Ótimo
bfw782b.col,782,2600,0.01,355.0,900.97,Melhor
can_838.col,838,4586,0.01,188.0,14.76,Ótimo
young2c.col,841,1624,0.00,549.0,900.13,Melhor
young3c.col,841,1671,0.00,530.0,900.12,Melhor
dwt_869.col,869,3208,0.01,317.0,900.17,Melhor
dwt_878.col,878,3285,0.01,305.0,181.08,Ótimo
dwt_1005.col,1005,3808,0.01,408.0,900.16,Melhor
jagmesh2.col,1009,2928,0.01,473.0,900.13,Melhor
can_1054.col,1054,5571,0.01,208.0,31.41,Ótimo
bcsstk09.col,1083,8677,0.01,193.0,900.25,Melhor
1138_bus.col,1138,1458,0.00,959.0,7.02,Ótimo
jagmesh8.col,1141,3162,0.00,551.0,900.14,Melhor
bcsstm27.col,1224,27451,0.04,78.0,0.90,Ótimo
jagmesh4.col,1440,4032,0.00,696.0,900.25,Melhor
bcspwr06.col,1454,1923,0.00,1181.0,243.58,Ótimo
bcsstk11.col,1473,16384,0.02,219.0,900.97,Melhor
lshp1561.col,1561,4560,0.00,730.0,900.19,Melhor
plat1919.col,1919,15240,0.01,377.0,900.37,Melhor
bcsstk13.col,2003,40940,0.02,216.0,900.59,Melhor
lshp2233.col,2233,6552,0.00,1035.0,900.47,Melhor
bcsstk23.col,3134,21022,0.00,916.0,900.64,Melhor
bcsstk24.col,3562,78174,0.01,261.0,901.05,Melhor
bcsstk21.col,3600,11500,0.00,1718.0,900.38,Melhor
bcsstk15.col,3948,56934,0.01,545.0,900.86,Melhor
bcspwr10.col,5300,8271,0.00,3835.0,900.63,Melhor
bcspwr03.col,118,179,0.03,89.0,0.55,Ótimo
bcsstk04.col,132,1758,0.20,19.0,0.42,Ótimo
bcsstk06.col,420,3720,0.04,123.0,34.64,Ótimo
bcsstk20.col,485,1325,0.01,270.0,900.26,Melhor
bcsstk19.col,817,3018,0.01,343.0,900.14,Melhor
bcsstk26.col,1922,14207,0.01,451.0,900.58,Melhor
