graph,aco_ts,pli,gap,gap_percent,status,runtime_seconds,iterations,evaluations,stop_reason,output_file
cubic_100,75.0,75.0,0.0,0.0,igual,9.246,1400,513754,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_100.json
cubic_1000,784.0,767.0,17.0,2.216427640156454,pior,69.117,2550,946200,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1000.json
cubic_1100,867.0,850.0,17.0,2.0,pior,86.715,2550,946200,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1100.json
cubic_1200,939.0,923.0,16.0,1.7334777898158178,pior,112.55,3700,1378646,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1200.json
cubic_1300,1022.0,1003.0,19.0,1.8943170488534395,pior,132.531,3800,1416250,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1300.json
cubic_1400,1094.0,1075.0,19.0,1.7674418604651163,pior,149.249,4300,1604270,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1400.json
cubic_1500,1174.0,1154.0,20.0,1.733102253032929,pior,160.687,5050,1886300,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1500.json
cubic_1600,1258.0,1236.0,22.0,1.779935275080906,pior,105.117,2950,1096616,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1600.json
cubic_1700,1331.0,1308.0,23.0,1.7584097859327217,pior,185.588,5150,1923904,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1700.json
cubic_1800,1418.0,1386.0,32.0,2.3088023088023086,pior,81.309,2200,814586,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1800.json
cubic_1900,1485.0,1472.0,13.0,0.8831521739130435,pior,199.322,4600,1717082,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1900.json
