dataset,Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status,LB,UB,PLI_gap_prova,PLI_gap_relativo,PLI_dentro_bounds,HHO_RVNS,HHO_RVNS_media,HHO_RVNS_mediana,HHO_RVNS_gap_prova,HHO_RVNS_gap_relativo,HHO_RVNS_dentro_bounds,HHO_RVNS_todas_rodadas_dentro_bounds,HHO_RVNS_rodadas,HHO_RVNS_melhor_rodada,HHO_RVNS_melhor_avaliacoes,HHO_RVNS_melhor_iteracoes,HHO_RVNS_melhor_tempo_s,HHO_RVNS_melhor_criterio_parada,HHO_RVNS_melhor_seed,HHO_RVNS_tempo_total_s,HHO_RVNS_valores_rodadas,HHO_RVNS_json,ACO_TS,ACO_TS_media,ACO_TS_mediana,ACO_TS_gap_prova,ACO_TS_gap_relativo,ACO_TS_dentro_bounds,ACO_TS_todas_rodadas_dentro_bounds,ACO_TS_rodadas,ACO_TS_melhor_rodada,ACO_TS_melhor_avaliacoes,ACO_TS_melhor_iteracoes,ACO_TS_melhor_tempo_s,ACO_TS_melhor_criterio_parada,ACO_TS_melhor_seed,ACO_TS_tempo_total_s,ACO_TS_valores_rodadas,ACO_TS_json
DIMACS,myciel3,11,20,0.36,7.0,0.03,Ótimo,5,8,0.0,0.0,True,7.0,7.0,7.0,0.0,0.0,True,True,10,1,9910464,941,5.758,stagnation,188680919689041,121.00399999999999,7;7;7;7;7;7;7;7;7;7,results/experiments/hho_rvns/myciel3.json,7.0,7.0,7.0,0.0,0.0,True,True,10,1,468823,694,0.133,stagnation,43746011204758,1.358,7;7;7;7;7;7;7;7;7;7,results/experiments/aco_ts/myciel3.json
DIMACS,queen5_5,25,160,0.53,7.0,0.13,Ótimo,4,11,0.0,0.0,True,7.0,7.0,7.0,0.0,0.0,True,True,10,3,9917629,940,9.263,stagnation,187633974155404,108.917,7;7;7;7;7;7;7;7;7;7,results/experiments/hho_rvns/queen5_5.json,7.0,7.0,7.0,0.0,0.0,True,True,10,2,429315,687,0.387,stagnation,43707959533640,3.113,7;7;7;7;7;7;7;7;7;7,results/experiments/aco_ts/queen5_5.json
DIMACS,queen7_7,49,476,0.4,9.0,0.35,Ótimo,5,27,0.0,0.0,True,9.0,9.0,9.0,0.0,0.0,True,True,10,1,39520082,1651,71.417,stagnation,186455276817201,722.436,9;9;9;9;9;9;9;9;9;9,results/experiments/hho_rvns/queen7_7.json,9.0,9.5,9.5,0.0,0.0,True,True,10,1,885733,949,1.2,stagnation,43676094562268,12.318,9;9;9;9;10;10;10;10;9;10,results/experiments/aco_ts/queen7_7.json
DIMACS,hamming6-4,64,704,0.35,10.0,0.37,Ótimo,7,44,0.0,0.0,True,10.0,10.0,10.0,0.0,0.0,True,True,10,1,39501118,1651,95.16,stagnation,185589613213206,865.641,10;10;10;10;10;10;10;10;10;10,results/experiments/hho_rvns/hamming6-4.json,10.0,10.1,10.0,0.0,0.0,True,True,10,1,1346045,1244,2.96,stagnation,43654605484041,21.454,10;10;10;10;11;10;10;10;10;10,results/experiments/aco_ts/hamming6-4.json
DIMACS,johnson8-4-4,70,1855,0.77,5.0,0.21,Ótimo,4,19,0.0,0.0,True,5.0,5.0,5.0,0.0,0.0,True,True,10,1,10658813,963,50.643,stagnation,187177766120767,456.187,5;5;5;5;5;5;5;5;5;5,results/experiments/hho_rvns/johnson8-4-4.json,6.0,6.0,6.0,1.0,20.0,True,True,10,1,468233,689,1.843,stagnation,43688441431161,19.482,6;6;6;6;6;6;6;6;6;6,results/experiments/aco_ts/johnson8-4-4.json
DIMACS,david,87,406,0.11,6.0,0.02,Ótimo,4,7,0.0,0.0,True,6.0,6.0,6.0,0.0,0.0,True,True,10,1,9907704,939,22.666,stagnation,189788355076909,221.024,6;6;6;6;6;6;6;6;6;6,results/experiments/hho_rvns/david.json,6.0,6.0,6.0,0.0,0.0,True,True,10,1,429079,685,0.924,stagnation,43776567257374,10.795,6;6;6;6;6;6;6;6;6;6,results/experiments/aco_ts/david.json
DIMACS,myciel6,95,755,0.17,12.0,0.95,Ótimo,5,50,0.0,0.0,True,12.0,12.1,12.0,0.0,0.0,True,True,10,1,39500241,1651,113.768,stagnation,170709150089937,1266.221,12;12;13;12;12;12;12;12;12;12,results/experiments/hho_rvns/myciel6.json,12.0,13.4,14.0,0.0,0.0,True,True,10,5,1429545,1296,3.165,stagnation,43035002812050,21.077,13;13;14;14;12;12;14;14;14;14,results/experiments/aco_ts/myciel6.json
DIMACS,johnson16-2-4,120,5460,0.76,5.0,8.92,Ótimo,4,31,0.0,0.0,True,5.0,5.0,5.0,0.0,0.0,True,True,10,1,9910400,940,69.289,stagnation,153560584164115,617.301,5;5;5;5;5;5;5;5;5;5,results/experiments/hho_rvns/johnson16-2-4.json,8.0,8.0,8.0,3.0,60.0,True,True,10,1,429079,685,4.552,stagnation,42089930728345,43.071999999999996,8;8;8;8;8;8;8;8;8;8,results/experiments/aco_ts/johnson16-2-4.json
DIMACS,queen11_11,121,1980,0.27,14.0,900.38,Melhor,7,83,0.0,0.0,True,15.0,15.0,15.0,1.0,7.142857142857142,True,True,10,1,44389797,1768,160.044,stagnation,805022288132304,1704.792,15;15;15;15;15;15;15;15;15;15,results/experiments/hho_rvns/queen11_11.json,16.0,17.1,17.0,2.0,14.285714285714285,True,True,10,1,1763545,1504,9.521,stagnation,804945337680225,76.905,16;16;18;17;17;18;17;17;18;17,results/experiments/aco_ts/queen11_11.json
DIMACS,DSJC125.5,125,3891,0.5,8.0,15.24,Ótimo,5,52,0.0,0.0,True,8.0,9.0,9.0,0.0,0.0,True,True,10,4,44752431,1777,245.593,stagnation,218858377373813,2279.375,9;9;9;8;9;9;9;9;10;9,results/experiments/hho_rvns/DSJC125.5.json,9.0,9.0,9.0,1.0,12.5,True,True,10,1,1178573,1136,9.647,stagnation,55877561156158,56.428,9;9;9;9;9;9;9;9;9;9,results/experiments/aco_ts/DSJC125.5.json
