dataset,Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status,LB,UB,PLI_gap_prova,PLI_gap_relativo,PLI_dentro_bounds,HHO_RVNS,HHO_RVNS_media,HHO_RVNS_mediana,HHO_RVNS_gap_prova,HHO_RVNS_gap_relativo,HHO_RVNS_dentro_bounds,HHO_RVNS_todas_rodadas_dentro_bounds,HHO_RVNS_rodadas,HHO_RVNS_melhor_rodada,HHO_RVNS_melhor_avaliacoes,HHO_RVNS_melhor_iteracoes,HHO_RVNS_melhor_tempo_s,HHO_RVNS_melhor_criterio_parada,HHO_RVNS_melhor_seed,HHO_RVNS_tempo_total_s,HHO_RVNS_valores_rodadas,HHO_RVNS_json,ACO_TS,ACO_TS_media,ACO_TS_mediana,ACO_TS_gap_prova,ACO_TS_gap_relativo,ACO_TS_dentro_bounds,ACO_TS_todas_rodadas_dentro_bounds,ACO_TS_rodadas,ACO_TS_melhor_rodada,ACO_TS_melhor_avaliacoes,ACO_TS_melhor_iteracoes,ACO_TS_melhor_tempo_s,ACO_TS_melhor_criterio_parada,ACO_TS_melhor_seed,ACO_TS_tempo_total_s,ACO_TS_valores_rodadas,ACO_TS_json
HB,can_268,268,1407,0.04,48.0,0.67,Ótimo,16,234,0.0,0.0,True,52.0,56.0,55.5,4.0,8.333333333333332,True,True,10,5,62366935,2200,398.222,stagnation,178122987512157,3415.668,54;54;55;55;52;61;57;60;56;56,results/experiments/hho_rvns/can_268.json,50.0,53.2,53.0,2.0,4.166666666666666,True,True,10,8,1972295,1634,18.996,stagnation,43426665331785,133.41899999999998,53;53;54;53;53;54;55;50;53;54,results/experiments/aco_ts/can_268.json
HB,dwt_307,307,1108,0.02,112.0,92.01,Ótimo,70,301,0.0,0.0,True,115.0,116.7,117.0,3.0,2.6785714285714284,True,True,10,2,81866586,2671,382.41,max_iterations,100795753393137,2515.409,116;115;118;118;117;116;117;117;117;116,results/experiments/hho_rvns/dwt_307.json,113.0,114.4,114.0,1.0,0.8928571428571428,True,True,10,1,2097545,1712,11.536,stagnation,38633086803778,98.947,113;115;114;116;116;114;115;113;114;114,results/experiments/aco_ts/dwt_307.json
HB,dwt_346,346,1440,0.02,163.0,185.48,Ótimo,46,333,0.0,0.0,True,166.0,167.9,168.0,3.0,1.8404907975460123,True,True,10,10,42496616,1723,284.78,stagnation,80797549622155,3119.803,168;168;169;168;168;168;167;168;169;166,results/experiments/hho_rvns/dwt_346.json,166.0,166.2,166.0,3.0,1.8404907975460123,True,True,10,1,1094837,1082,59.22,stagnation,36079818843183,645.47,166;167;167;166;166;166;166;166;166;166,results/experiments/aco_ts/dwt_346.json
HB,dwt_361,361,1296,0.02,146.0,900.07,Melhor,82,355,0.0,0.0,True,146.0,146.6,147.0,0.0,0.0,True,True,10,2,44371945,1768,341.507,stagnation,42698709287940,3189.149,147;146;147;147;147;146;146;146;147;147,results/experiments/hho_rvns/dwt_361.json,146.0,146.3,146.0,0.0,0.0,True,True,10,1,1137295,1114,7.907,stagnation,24579265072518,54.87,146;146;146;146;147;146;147;147;146;146,results/experiments/aco_ts/dwt_361.json
HB,plat362,362,2712,0.04,76.0,36.25,Ótimo,40,346,0.0,0.0,True,79.0,81.5,81.0,3.0,3.9473684210526314,True,True,10,1,72116784,2434,519.302,stagnation,109054505945466,3741.695,79;81;82;81;81;82;81;84;83;81,results/experiments/hho_rvns/plat362.json,78.0,79.5,79.5,2.0,2.631578947368421,True,True,10,9,1554795,1374,13.772,stagnation,39031474556756,153.256,79;81;80;79;79;80;80;79;78;80,results/experiments/aco_ts/plat362.json
HB,dwt_419,419,1572,0.02,159.0,900.09,Melhor,66,409,0.0,0.0,True,161.0,164.4,164.5,2.0,1.257861635220126,True,True,10,6,45869910,1804,431.915,stagnation,37054178419044,5644.469,162;167;164;164;166;161;166;165;165;164,results/experiments/hho_rvns/dwt_419.json,159.0,160.5,161.0,0.0,0.0,True,True,10,1,1429545,1296,12.647,stagnation,24428314695306,150.847,159;160;161;160;161;161;161;161;160;161,results/experiments/aco_ts/dwt_419.json
HB,dwt_503,503,2762,0.02,150.0,900.1,Melhor,42,481,0.0,0.0,True,153.0,154.8,155.0,3.0,2.0,True,True,10,10,64619993,2254,615.896,stagnation,27476265857068,4604.377,155;155;154;155;156;156;156;154;154;153,results/experiments/hho_rvns/dwt_503.json,152.0,153.5,154.0,2.0,1.3333333333333335,True,True,10,6,1346045,1244,16.664,stagnation,24083587494579,170.15800000000002,154;154;154;153;153;152;154;154;154;153,results/experiments/aco_ts/dwt_503.json
HB,dwt_607,607,2262,0.01,221.0,869.08,Ótimo,107,578,0.0,0.0,True,224.0,225.8,225.5,3.0,1.3574660633484164,True,True,10,9,46995729,1831,435.011,stagnation,45887892341592,5861.708,226;226;225;225;227;228;225;227;224;225,results/experiments/hho_rvns/dwt_607.json,224.0,224.7,225.0,3.0,1.3574660633484164,True,True,10,2,1471295,1322,17.653,stagnation,24634224649871,182.175,225;224;225;224;224;225;224;225;226;225,results/experiments/aco_ts/dwt_607.json
HB,662_bus,662,906,0.0,521.0,99.93,Ótimo,134,655,0.0,0.0,True,529.0,531.6,530.5,8.0,1.5355086372360844,True,True,10,1,79617035,2614,598.236,stagnation,96090917557999,4704.798,529;538;531;536;532;529;530;529;530;532,results/experiments/hho_rvns/662_bus.json,521.0,523.4,524.0,0.0,0.0,True,True,10,7,2473295,1946,24.441,stagnation,38416850795872,216.144,524;524;524;525;524;522;521;524;524;522,results/experiments/aco_ts/662_bus.json
HB,bfw782b,782,2600,0.01,355.0,900.97,Melhor,123,762,0.0,0.0,True,395.0,400.4,401.0,40.0,11.267605633802818,True,True,10,3,81868472,2671,864.31,max_iterations,657606643439666,6583.306,403;397;395;400;403;400;403;402;399;402,results/experiments/hho_rvns/bfw782b.json,391.0,393.6,393.5,36.0,10.140845070422536,True,True,10,4,3308295,2466,45.742,stagnation,657191207248276,415.337,394;392;394;391;397;396;392;392;393;395,results/experiments/aco_ts/bfw782b.json
HB,can_838,838,4586,0.01,188.0,14.76,Ótimo,54,809,0.0,0.0,True,198.0,214.2,203.0,10.0,5.319148936170213,True,True,10,5,70995841,2404,902.227,time_limit,144395050574558,8215.19,202;261;228;204;198;201;228;201;200;219,results/experiments/hho_rvns/can_838.json,196.0,199.6,200.0,8.0,4.25531914893617,True,True,10,2,4353579,3129,108.18,max_iterations,41357768899604,711.335,201;196;199;196;198;202;201;197;201;205,results/experiments/aco_ts/can_838.json
HB,young2c,841,1624,0.0,549.0,900.13,Melhor,338,839,0.0,0.0,True,540.0,546.7,547.0,-9.0,-1.639344262295082,True,True,10,5,81867066,2671,631.405,max_iterations,60167558258,4356.373,550;553;542;546;540;548;549;550;546;543,results/experiments/hho_rvns/young2c.json,545.0,550.6,551.5,-4.0,-0.7285974499089253,True,True,10,3,4226795,3038,53.531,stagnation,22162007229520,367.06,552;547;545;555;550;551;552;549;552;553,results/experiments/aco_ts/young2c.json
HB,young3c,841,1671,0.0,530.0,900.12,Melhor,212,836,0.0,0.0,True,537.0,540.2,541.0,7.0,1.3207547169811322,True,True,10,2,73614906,2470,550.523,stagnation,18655205772707,3776.907,541;537;541;542;538;542;541;538;542;540,results/experiments/hho_rvns/young3c.json,538.0,539.9,539.5,8.0,1.509433962264151,True,True,10,3,3141295,2362,42.188,stagnation,23435043516616,303.218,539;540;538;541;538;538;539;545;540;541,results/experiments/aco_ts/young3c.json
HB,dwt_869,869,3208,0.01,317.0,900.17,Melhor,126,858,0.0,0.0,True,321.0,322.8,322.5,4.0,1.2618296529968454,True,True,10,3,76244016,2530,903.873,time_limit,183568756664654,7383.1630000000005,322;323;321;322;322;326;323;321;323;325,results/experiments/hho_rvns/dwt_869.json,322.0,324.4,324.0,5.0,1.5772870662460567,True,True,10,10,2181045,1764,38.53,stagnation,14864040856192,302.752,324;323;325;324;326;326;324;324;326;322,results/experiments/aco_ts/dwt_869.json
HB,dwt_878,878,3285,0.01,305.0,181.08,Ótimo,177,871,0.0,0.0,True,305.0,305.9,306.0,0.0,0.0,True,True,10,10,42872752,1732,410.802,stagnation,83917412140035,2968.763,306;306;306;306;306;306;306;306;306;305,results/experiments/hho_rvns/dwt_878.json,306.0,307.7,307.5,1.0,0.32786885245901637,True,True,10,1,2807295,2154,55.905,stagnation,36725388191531,437.23199999999997,306;306;310;309;309;307;307;308;306;309,results/experiments/aco_ts/dwt_878.json
HB,dwt_1005,1005,3808,0.01,408.0,900.16,Melhor,76,981,0.0,0.0,True,420.0,426.9,427.0,12.0,2.941176470588235,True,True,10,10,51869888,1945,902.295,time_limit,200620468426771,8978.598,431;430;425;427;424;427;423;428;434;420,results/experiments/hho_rvns/dwt_1005.json,415.0,417.2,417.5,7.0,1.715686274509804,True,True,10,7,3016045,2284,67.015,stagnation,16043312132637,544.018,418;418;416;417;419;418;415;417;416;418,results/experiments/aco_ts/dwt_1005.json
HB,jagmesh2,1009,2928,0.01,473.0,900.13,Melhor,290,1005,0.0,0.0,True,486.0,500.7,490.5,13.0,2.748414376321353,True,True,10,10,29385841,1405,904.072,time_limit,261530160773368,9173.439,487;491;489;516;519;520;490;488;521;486,results/experiments/hho_rvns/jagmesh2.json,481.0,483.5,483.5,8.0,1.6913319238900635,True,True,10,1,2807295,2154,50.846,stagnation,21764458844463,397.436,481;482;485;485;483;485;484;484;483;483,results/experiments/aco_ts/jagmesh2.json
HB,can_1054,1054,5571,0.01,208.0,31.41,Ótimo,62,1022,0.0,0.0,True,228.0,241.6,239.0,20.0,9.615384615384617,True,True,10,10,61994495,2188,900.844,time_limit,117489798917722,8957.211,238;250;241;237;266;240;244;237;235;228,results/experiments/hho_rvns/can_1054.json,223.0,233.2,232.0,15.0,7.211538461538461,True,True,10,2,3684045,2700,88.539,stagnation,39371346853757,905.768,234;223;231;232;229;230;243;232;243;235,results/experiments/aco_ts/can_1054.json
HB,bcsstk09,1083,8677,0.01,193.0,900.25,Melhor,96,1063,0.0,0.0,True,234.0,238.0,237.5,41.0,21.243523316062177,True,True,10,3,8406445,901,930.965,time_limit,108785316111909,9193.868,236;237;234;238;241;234;245;234;242;239,results/experiments/hho_rvns/bcsstk09.json,236.0,239.1,239.5,43.0,22.279792746113987,True,True,10,7,4353579,3129,142.061,max_iterations,8944208405227,849.845,240;241;240;241;241;239;236;237;237;239,results/experiments/aco_ts/bcsstk09.json
HB,1138_bus,1138,1458,0.0,959.0,7.02,Ótimo,128,1123,0.0,0.0,True,963.0,967.5,968.0,4.0,0.4171011470281543,True,True,10,8,66870759,2305,903.022,time_limit,154177922146044,8120.888,967;970;968;970;966;968;965;963;968;970,results/experiments/hho_rvns/1138_bus.json,959.0,960.9,960.0,0.0,0.0,True,True,10,5,3851045,2804,68.778,stagnation,42133083231433,462.062,960;960;962;960;959;965;962;960;960;961,results/experiments/aco_ts/1138_bus.json
HB,jagmesh8,1141,3162,0.0,551.0,900.14,Melhor,327,1137,0.0,0.0,True,600.0,610.4,609.0,49.0,8.892921960072595,True,True,10,5,78876885,2593,902.678,time_limit,231558971665722,9075.604,606;619;612;607;600;611;606;606;622;615,results/experiments/hho_rvns/jagmesh8.json,568.0,570.2,570.5,17.0,3.0852994555353903,True,True,10,2,2139295,1738,47.27,stagnation,19931125460619,530.469,571;568;571;570;572;570;572;568;571;569,results/experiments/aco_ts/jagmesh8.json
HB,bcsstm27,1224,27451,0.04,78.0,0.9,Ótimo,47,1173,0.0,0.0,True,78.0,78.0,78.0,0.0,0.0,True,True,10,1,9910279,939,573.917,stagnation,171975433524089,5717.571,78;78;78;78;78;78;78;78;78;78,results/experiments/hho_rvns/bcsstm27.json,78.0,78.0,78.0,0.0,0.0,True,True,10,1,429079,685,32.432,stagnation,43056132501575,336.076,78;78;78;78;78;78;78;78;78;78,results/experiments/aco_ts/bcsstm27.json
HB,jagmesh4,1440,4032,0.0,696.0,900.25,Melhor,413,1436,0.0,0.0,True,718.0,723.1,723.0,22.0,3.1609195402298855,True,True,10,1,43253304,1738,904.133,time_limit,117979315967551,9037.794,718;726;723;724;723;722;726;722;724;723,results/experiments/hho_rvns/jagmesh4.json,706.0,711.0,711.5,10.0,1.4367816091954022,True,True,10,5,4059795,2934,102.672,stagnation,9794303695434,882.438,712;713;710;713;706;707;713;711;711;714,results/experiments/aco_ts/jagmesh4.json
HB,bcspwr06,1454,1923,0.0,1181.0,243.58,Ótimo,225,1444,0.0,0.0,True,1197.0,1205.1,1208.0,16.0,1.3547840812870449,True,True,10,2,52620497,1963,903.383,time_limit,71863290863007,8934.198,1207;1197;1209;1212;1198;1200;1198;1210;1211;1209,results/experiments/hho_rvns/bcspwr06.json,1184.0,1187.8,1188.0,3.0,0.2540220152413209,True,True,10,2,4353579,3129,117.071,max_iterations,34276595470025,1803.0149999999999,1188;1184;1188;1188;1188;1186;1186;1195;1187;1188,results/experiments/aco_ts/bcspwr06.json
HB,bcsstk11,1473,16384,0.02,219.0,900.97,Melhor,130,1443,0.0,0.0,True,226.0,229.7,230.5,7.0,3.1963470319634704,True,True,10,5,18147575,1135,906.582,time_limit,648092369493618,9098.73,232;231;228;229;226;231;230;227;231;232,results/experiments/hho_rvns/bcsstk11.json,227.0,228.0,228.0,8.0,3.65296803652968,True,True,10,1,1638295,1426,82.858,stagnation,647321957900945,770.121,227;228;227;227;229;227;228;229;229;229,results/experiments/aco_ts/bcsstk11.json
HB,lshp1561,1561,4560,0.0,730.0,900.19,Melhor,447,1557,0.0,0.0,True,751.0,784.6,797.0,21.0,2.8767123287671232,True,True,10,7,9162288,919,901.424,time_limit,142701702384181,20668.658,752;757;811;812;807;811;751;751;795;799,results/experiments/hho_rvns/lshp1561.json,734.0,739.7,740.0,4.0,0.547945205479452,True,True,10,9,4101545,2960,113.256,stagnation,12051806178801,908.773,742;740;739;740;737;741;744;740;734;740,results/experiments/aco_ts/lshp1561.json
HB,plat1919,1919,15240,0.01,377.0,900.37,Melhor,203,1903,0.0,0.0,True,405.0,410.4,409.5,28.0,7.427055702917771,True,True,10,5,21886393,1225,906.708,time_limit,822277142411675,9059.397,409;409;412;415;405;412;408;415;410;409,results/experiments/hho_rvns/plat1919.json,398.0,403.5,404.0,21.0,5.570291777188329,True,True,10,6,4353579,3129,254.592,max_iterations,819959685265667,2317.068,406;405;399;400;409;398;405;403;407;403,results/experiments/aco_ts/plat1919.json
HB,bcsstk13,2003,40940,0.02,216.0,900.59,Melhor,44,1911,0.0,0.0,True,241.0,249.8,250.0,25.0,11.574074074074074,True,True,10,6,4667085,811,925.467,time_limit,729434433012294,9269.032,251;249;259;243;249;241;251;254;248;253,results/experiments/hho_rvns/bcsstk13.json,242.0,246.8,247.0,26.0,12.037037037037036,True,True,10,3,1847045,1556,252.41,stagnation,725701522324040,3731.885,250;246;242;247;247;249;249;245;247;246,results/experiments/aco_ts/bcsstk13.json
HB,lshp2233,2233,6552,0.0,1035.0,900.47,Melhor,639,2229,0.0,0.0,True,1062.0,1084.6,1070.5,27.0,2.608695652173913,True,True,10,10,27513358,1360,901.838,time_limit,764394769563943,9085.737000000001,1069;1148;1143;1071;1073;1070;1069;1069;1072;1062,results/experiments/hho_rvns/lshp2233.json,1054.0,1057.6,1057.0,19.0,1.8357487922705313,True,True,10,2,3475295,2570,173.102,stagnation,762700063649167,1694.462,1063;1054;1055;1059;1055;1057;1057;1064;1057;1055,results/experiments/aco_ts/lshp2233.json
HB,bcsstk23,3134,21022,0.0,916.0,900.64,Melhor,204,3106,0.0,0.0,True,929.0,940.1,942.0,13.0,1.4192139737991267,True,True,10,10,14773838,1054,909.967,time_limit,684205600374096,9156.819,943;949;949;942;942;932;935;948;932;929,results/experiments/hho_rvns/bcsstk23.json,956.0,961.1,959.0,40.0,4.366812227074235,True,True,10,9,4353579,3129,394.623,max_iterations,680913530185040,3291.544,964;957;964;959;959;971;957;968;956;956,results/experiments/aco_ts/bcsstk23.json
HB,bcsstk24,3562,78174,0.01,261.0,901.05,Melhor,126,3508,0.0,0.0,True,280.0,284.7,285.0,19.0,7.2796934865900385,True,True,10,2,6536688,856,950.977,time_limit,637700071342021,9621.422,281;280;286;286;282;284;286;281;293;288,results/experiments/hho_rvns/bcsstk24.json,296.0,300.0,298.5,35.0,13.409961685823754,True,True,10,6,2890795,2206,739.097,stagnation,630914945839957,6783.808,298;298;302;299;306;296;303;302;298;298,results/experiments/aco_ts/bcsstk24.json
HB,bcsstk21,3600,11500,0.0,1718.0,900.38,Melhor,802,3588,0.0,0.0,True,1744.0,1750.1,1750.0,26.0,1.5133876600698486,True,True,10,7,18516604,1144,909.798,time_limit,810773675796768,9185.839,1758;1749;1753;1752;1745;1751;1744;1754;1747;1748,results/experiments/hho_rvns/bcsstk21.json,1750.0,1767.1,1769.5,32.0,1.8626309662398137,True,True,10,9,4353579,3129,663.674,max_iterations,806727145276589,4046.0570000000002,1766;1772;1760;1775;1769;1765;1770;1774;1750;1770,results/experiments/aco_ts/bcsstk21.json
HB,bcsstk15,3948,56934,0.01,545.0,900.86,Melhor,193,3913,0.0,0.0,True,607.0,615.8,616.5,62.0,11.376146788990827,True,True,10,7,7657925,883,905.602,time_limit,671675625151386,9237.579,618;617;612;612;617;624;607;616;614;621,results/experiments/hho_rvns/bcsstk15.json,632.0,638.0,636.5,87.0,15.963302752293579,True,True,10,7,4059795,2934,819.876,stagnation,664190043064813,7484.639,633;637;636;641;642;635;632;644;647;633,results/experiments/aco_ts/bcsstk15.json
HB,bcspwr10,5300,8271,0.0,3835.0,900.63,Melhor,759,5289,0.0,0.0,True,3980.0,3990.7,3988.0,145.0,3.780964797913951,True,True,10,2,15534208,1072,900.127,time_limit,697102501686611,9116.92,3983;3980;3986;3990;3993;3981;3980;3994;3996;4024,results/experiments/hho_rvns/bcspwr10.json,3878.0,3886.4,3885.0,43.0,1.1212516297262058,True,True,10,3,4353579,3129,379.58,max_iterations,693362630301322,3739.392,3887;3890;3878;3893;3882;3883;3889;3881;3898;3883,results/experiments/aco_ts/bcspwr10.json
HB,bcspwr03,118,179,0.03,89.0,0.55,Ótimo,25,111,0.0,0.0,True,89.0,89.3,89.0,0.0,0.0,True,True,10,3,39494734,1651,76.911,stagnation,181538680601566,839.2280000000001,90;90;89;90;89;89;89;89;89;89,results/experiments/hho_rvns/bcspwr03.json,89.0,89.1,89.0,0.0,0.0,True,True,10,1,596197,790,1.445,stagnation,43560134200187,21.242,89;89;89;89;89;90;89;89;89;89,results/experiments/aco_ts/bcspwr03.json
HB,bcsstk04,132,1758,0.2,19.0,0.42,Ótimo,7,89,0.0,0.0,True,19.0,19.3,19.0,0.0,0.0,True,True,10,3,39499965,1651,223.292,stagnation,183441788406895,2147.796,20;20;19;19;19;19;20;19;19;19,results/experiments/hho_rvns/bcsstk04.json,19.0,19.5,19.5,0.0,0.0,True,True,10,2,1262545,1192,7.91,stagnation,43607149671179,47.379,20;19;19;20;20;20;19;19;19;20,results/experiments/aco_ts/bcsstk04.json
HB,bcsstk06,420,3720,0.04,123.0,34.64,Ótimo,31,395,0.0,0.0,True,126.0,127.5,127.0,3.0,2.4390243902439024,True,True,10,9,39497471,1651,408.434,stagnation,112796234558108,4693.493,127;128;128;129;127;127;127;129;126;127,results/experiments/hho_rvns/bcsstk06.json,126.0,126.9,127.0,3.0,2.4390243902439024,True,True,10,2,2515045,1972,29.536,stagnation,39184835741972,186.407,127;126;127;126;128;127;126;128;128;126,results/experiments/aco_ts/bcsstk06.json
HB,bcsstk20,485,1325,0.01,270.0,900.26,Melhor,98,476,0.0,0.0,True,269.0,269.4,269.0,-1.0,-0.3703703703703704,True,True,10,2,39503634,1651,316.222,stagnation,104642092380221,4143.179,270;269;269;270;269;269;269;270;269;270,results/experiments/hho_rvns/bcsstk20.json,270.0,270.0,270.0,0.0,0.0,True,True,10,1,637829,815,7.72,stagnation,8861699402874,82.43,270;270;270;270;270;270;270;270;270;270,results/experiments/aco_ts/bcsstk20.json
HB,bcsstk19,817,3018,0.01,343.0,900.14,Melhor,150,809,0.0,0.0,True,357.0,363.2,363.5,14.0,4.081632653061225,True,True,10,10,81867955,2671,899.877,max_iterations,223581299936903,7977.598,363;369;359;364;364;363;361;365;367;357,results/experiments/hho_rvns/bcsstk19.json,350.0,354.6,354.5,7.0,2.0408163265306123,True,True,10,5,3057795,2310,118.513,stagnation,19157678789789,773.317,356;352;355;360;350;353;353;358;355;354,results/experiments/aco_ts/bcsstk19.json
HB,bcsstk26,1922,14207,0.01,451.0,900.58,Melhor,118,1892,0.0,0.0,True,474.0,478.1,478.0,23.0,5.099778270509978,True,True,10,1,15896349,1081,902.485,time_limit,740497784956591,9109.691,474;478;478;475;479;480;477;482;481;477,results/experiments/hho_rvns/bcsstk26.json,468.0,473.0,473.0,17.0,3.7694013303769403,True,True,10,9,2598545,2024,185.908,stagnation,738703689331749,1793.761,473;470;473;470;476;474;476;472;468;478,results/experiments/aco_ts/bcsstk26.json
