dataset,metodo,rotulo,instancias,melhor_ou_empate,vitoria_estrita,igual_a_algum_metodo,igual_ao_PLI,igual_ao_HHO_RVNS,igual_ao_ACO_TS,gap_medio,gap_mediano,melhor_que_PLI,empate_com_PLI,pior_que_PLI
TODOS,PLI,PLI,130,101,51,51,130,41,39,0.0,0.0,0,130,0
TODOS,HHO_RVNS,HHO-RVNS,130,45,3,51,41,130,39,2.851768324026305,1.0506364106907586,13,41,76
TODOS,ACO_TS,ACO_R-TS,130,64,25,49,39,39,130,5.892625012749845,0.0,28,39,63
CUBIC,PLI,PLI,30,5,2,3,30,0,3,0.0,0.0,0,30,0
CUBIC,HHO_RVNS,HHO-RVNS,30,0,0,0,0,30,0,0.3632720193946238,0.9160874724529582,9,0,21
CUBIC,ACO_TS,ACO_R-TS,30,28,25,3,3,0,30,-1.3866420812381752,-0.6818885448916409,25,3,2
DIMACS,PLI,PLI,50,49,19,30,50,29,19,0.0,0.0,0,50,0
DIMACS,HHO_RVNS,HHO-RVNS,50,30,1,35,29,50,24,4.071329795286953,0.0,1,29,20
DIMACS,ACO_TS,ACO_R-TS,50,19,0,25,19,24,50,13.451755962222343,11.25,1,19,30
HB,PLI,PLI,50,47,30,18,50,12,17,0.0,0.0,0,50,0
HB,HHO_RVNS,HHO-RVNS,50,15,2,16,12,50,15,3.125304635544668,1.5244481486529664,3,12,35
HB,ACO_TS,ACO_R-TS,50,17,0,21,17,15,50,2.701054319670158,1.345399698340875,2,17,31
