Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status,LB,UB
dwt_59,59,104,0.0610,43,1.5150,Ótimo,23,45
can_61,61,248,0.1360,18,0.0290,Ótimo,7,18
dwt_66,66,127,0.0590,39,0.0470,Ótimo,25,51
dwt_72,72,75,0.0290,69,3.2260,Ótimo,31,78
can_73,73,152,0.0580,38,0.0750,Ótimo,20,51
can_96,96,336,0.0740,32,0.1060,Ótimo,27,36
nos4,100,247,0.0500,58,30.3380,Ótimo,34,72
arc130,130,715,0.0850,13,0.0420,Ótimo,4,18
bcsstk05,153,1135,0.0980,37,2.1620,Ótimo,18,45
can_161,161,608,0.0470,51,0.2630,Ótimo,26,72
will199,199,660,0.0340,82,900.4020,Melhor,38,108
can_229,229,774,0.0300,102,398.3840,Ótimo,46,126
dwt_234,234,300,0.0110,173,0.5760,Ótimo,80,192
dwt_245,245,608,0.0200,149,66.9990,Ótimo,49,186
dwt_346,346,1440,0.0240,163,235.9480,Ótimo,55,198
dwt_361,361,1296,0.0200,146,900.0850,Melhor,99,156
plskz362,362,880,0.0130,198,3.3540,Ótimo,121,246
lshp_406,406,1155,0.0140,193,900.6500,Melhor,136,261
bcsstm07,420,3416,0.0390,130,477.1240,Ótimo,45,159
bcsstk07,420,3720,0.0420,123,64.5380,Ótimo,42,153
bcspwr05,443,590,0.0060,362,16.5700,Ótimo,111,429
dwt_492,492,1332,0.0110,244,44.5740,Ótimo,115,288
dwt_607,607,2262,0.0120,221,569.0830,Ótimo,128,273
can_634,634,3297,0.0160,169,66.2360,Ótimo,64,204
can_715,715,2975,0.0120,211,900.1810,Melhor,21,237
nos7,729,1944,0.0070,383,900.1110,Melhor,243,459
dwt_869,869,3208,0.0090,317,900.1130,Melhor,163,339
dwt_918,918,3233,0.0080,318,900.1650,Melhor,184,372
nos2,957,1590,0.0030,739,900.1950,Melhor,466,957
sherman1,685,1375,0.0060,438,900.1120,Melhor,861,1152
dwt_1007,1007,3784,0.0070,369,900.1610,Melhor,252,378
can_1072,1072,5686,0.0100,211,19.8320,Ótimo,87,249
bcsstk08,1071,5943,0.0100,240,900.1620,Melhor,16,312
bcsstk09,1083,8677,0.0150,193,900.2040,Melhor,130,264
bcsstk10,1086,10492,0.0180,156,0.4100,Ótimo,133,156
jagmesh3,1089,3136,0.0050,513,900.1360,Melhor,363,765
jagmesh7,1138,3156,0.0050,553,900.1240,Melhor,380,750
bcsstm27,1224,27451,0.0370,78,0.8860,Ótimo,66,114
dwt_1242,1242,4592,0.0060,476,900.1860,Melhor,267,549
jagmesh6,1377,3808,0.0040,675,900.1780,Melhor,459,840
bcsstm12,1473,9093,0.0080,391,97.7200,Ótimo,278,447
lshp1882,1882,5511,0.0030,878,900.2180,Melhor,628,1188
blckhole,2121,6370,0.0030,951,900.2880,Melhor,312,1360
lshp2233,2233,6552,0.0030,1042,900.2930,Melhor,745,1473
lshp2614,2614,7683,0.0020,1233,900.4640,Melhor,872,1686
zenios,1507,12159,0.0110,426,23.6960,Ótimo,2929,3233
lshp3025,3025,8904,0.0020,1435,900.3360,Melhor,1009,1983
mhd3200b,3193,7558,0.0010,1802,20.9940,Ótimo,1177,2213
bcsstk21,3600,11500,0.0020,1718,900.4210,Melhor,982,2043
bcsstk16,4810,142747,0.0120,270,901.8830,Melhor,322,427
