Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status,LB,UB
cubic_100,100,150,0.0300,74,900.9870,Melhor,50,99
cubic_200,200,300,0.0150,153,900.8910,Melhor,100,186
cubic_300,300,450,0.0100,230,900.1710,Melhor,150,279
cubic_400,400,600,0.0080,309,900.1510,Melhor,200,372
cubic_500,500,750,0.0060,383,900.1170,Melhor,250,474
cubic_600,600,900,0.0050,460,900.1220,Melhor,300,570
cubic_700,700,1050,0.0040,537,900.1110,Melhor,350,654
cubic_800,800,1200,0.0040,615,900.0910,Melhor,400,759
cubic_900,900,1350,0.0030,695,900.1310,Melhor,450,855
cubic_1000,1000,1500,0.0030,771,900.1290,Melhor,500,969
cubic_1100,1100,1650,0.0030,853,900.2510,Melhor,550,1065
cubic_1200,1200,1800,0.0030,924,900.4440,Melhor,600,1152
cubic_1300,1300,1950,0.0020,999,900.1510,Melhor,650,1254
cubic_1400,1400,2100,0.0020,1077,900.1350,Melhor,700,1326
cubic_1500,1500,2250,0.0020,1155,900.1350,Melhor,750,1419
cubic_1600,1600,2400,0.0020,1233,900.1920,Melhor,800,1518
cubic_1700,1700,2550,0.0020,1319,900.2280,Melhor,850,1629
cubic_1800,1800,2700,0.0020,1394,900.1750,Melhor,900,1740
cubic_1900,1900,2850,0.0020,1468,900.2090,Melhor,950,1818
cubic_2000,2000,3000,0.0020,1549,900.2140,Melhor,1000,1905
cubic_2100,2100,3150,0.0010,1638,900.2310,Melhor,1050,2010
cubic_2200,2200,3300,0.0010,1728,900.2700,Melhor,1100,2103
cubic_2300,2300,3450,0.0010,1814,900.3230,Melhor,1150,2193
cubic_2400,2400,3600,0.0010,1907,900.3210,Melhor,1200,2280
cubic_2500,2500,3750,0.0010,1979,900.3770,Melhor,1250,2388
cubic_2600,2600,3900,0.0010,2089,900.2660,Melhor,1300,2460
cubic_2700,2700,4050,0.0010,2157,900.3530,Melhor,1350,2565
cubic_2800,2800,4200,0.0010,2247,914.4970,Melhor,1400,2649
cubic_2900,2900,4350,0.0010,2327,900.3900,Melhor,1450,2769
cubic_3000,3000,4500,0.0010,2412,900.4080,Melhor,1500,2886
